Generation;Avg Rock;Avg Paper;Avg Scissor;Best Rock;Best Paper;Best Scissor;LOD Rock;LOD Paper;LOD Scissor
0;0.368711;0.33854;0.292749;0.34731;0.381239;0.271451;0.36377;0.357233;0.278997
1;0.363213;0.334928;0.301859;0.235474;0.469244;0.295282;0.59268;0.228704;0.178616
2;0.365701;0.322665;0.311634;0.546467;0.11533;0.338203;0.447599;0.17272;0.379682
3;0.347967;0.344768;0.307266;0.213269;0.489818;0.296913;0.258314;0.231903;0.509783
4;0.369613;0.307394;0.322994;0.494686;0.437811;0.0675032;0.194828;0.174908;0.630265
5;0.376703;0.300986;0.322311;0.24891;0.58649;0.164599;0.440135;0.395133;0.164732
6;0.367443;0.295097;0.33746;0.362079;0.503751;0.13417;0.442717;0.393311;0.163972
7;0.363148;0.292768;0.344084;0.386193;0.0972461;0.516561;0.329244;0.2925;0.378256
8;0.372481;0.294566;0.332953;0.0778476;0.903636;0.0185169;0.154235;0.368817;0.476948
9;0.386349;0.307059;0.306592;0.394093;0.478625;0.127283;0.502241;0.21706;0.280698
10;0.384694;0.319132;0.296173;0.157463;0.756223;0.0863137;0.644067;0.155214;0.20072
11;0.386528;0.321964;0.291509;0.499013;0.381421;0.119567;0.457471;0.110246;0.432283
12;0.364016;0.306819;0.329166;0.694413;0.135218;0.170369;0.280453;0.146217;0.573329
13;0.348834;0.310817;0.340349;0.577313;0.137516;0.285172;0.254615;0.224877;0.520508
14;0.339807;0.302776;0.357416;0.926958;0.0187063;0.0543353;0.415371;0.176378;0.408251
15;0.350723;0.303889;0.345388;0.0238729;0.863389;0.112738;0.336047;0.333665;0.330287
16;0.336634;0.327986;0.335381;0.438816;0.210016;0.351167;0.27242;0.270489;0.457091
17;0.323926;0.345497;0.330577;0.26953;0.180105;0.550365;0.472822;0.195987;0.331191
18;0.327269;0.339058;0.333673;0.157346;0.521362;0.321292;0.398963;0.165372;0.435665
19;0.346213;0.3328;0.320987;0.575664;0.229134;0.195202;0.385161;0.194246;0.420593
20;0.337286;0.33854;0.324174;0.351632;0.291436;0.356932;0.543766;0.144138;0.312096
21;0.342451;0.310723;0.346826;0.637867;0.156773;0.20536;0.389798;0.103325;0.506877
22;0.329635;0.3322;0.338165;0.0876665;0.295498;0.616836;0.363242;0.107822;0.528937
23;0.317046;0.318731;0.364222;0.493577;0.418441;0.0879825;0.34321;0.101876;0.554915
24;0.305318;0.345447;0.349235;0.359359;0.430023;0.210618;0.347928;0.0895278;0.562544
25;0.302341;0.32748;0.370178;0.459039;0.166037;0.374923;0.585576;0.0568993;0.357524
26;0.300982;0.337585;0.361433;0.405984;0.189007;0.405008;0.671627;0.0450848;0.283289
27;0.340963;0.320933;0.338105;0.121642;0.397466;0.480892;0.546419;0.0366799;0.416902
